"TIME","GEO","UNIT","SECTOR","TYPE","NA_ITEM","Value","Flag and Footnotes"
"2007","Belgium","Percentage of total","General government","Cultural services","Total general government expenditure","1.0",""
"2007","Belgium","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.5",""
"2007","Belgium","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2007","Belgium","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Belgium","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2007","Bulgaria","Million euro","General government","Recreation, culture and religion","Total general government expenditure","228.9",""
"2007","Bulgaria","Million euro","General government","Recreational and sporting services","Total general government expenditure","37.3",""
"2007","Bulgaria","Million euro","General government","Cultural services","Total general government expenditure","124.3",""
"2007","Bulgaria","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","58.7",""
"2007","Bulgaria","Million euro","General government","Religious and other community services","Total general government expenditure","7.2",""
"2007","Bulgaria","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","1.4",""
"2007","Bulgaria","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure",":","z"
"2007","Bulgaria","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","1.9",""
"2007","Bulgaria","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"2007","Bulgaria","Percentage of total","General government","Cultural services","Total general government expenditure","1.0",""
"2007","Bulgaria","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.5",""
"2007","Bulgaria","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","Bulgaria","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Bulgaria","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure",":","z"
"2007","Czechia","Million euro","General government","Recreation, culture and religion","Total general government expenditure","1,953.0",""
"2007","Czechia","Million euro","General government","Recreational and sporting services","Total general government expenditure","611.9",""
"2007","Czechia","Million euro","General government","Cultural services","Total general government expenditure","782.5",""
"2007","Czechia","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","334.4",""
"2007","Czechia","Million euro","General government","Religious and other community services","Total general government expenditure","70.8",""
"2007","Czechia","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","12.9",""
"2007","Czechia","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","140.6",""
"2007","Czechia","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.5",""
"2007","Czechia","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.1",""
"2007","Czechia","Percentage of total","General government","Cultural services","Total general government expenditure","1.4",""
"2007","Czechia","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.6",""
"2007","Czechia","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","Czechia","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Czechia","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.3",""
"2007","Denmark","Million euro","General government","Recreation, culture and religion","Total general government expenditure","3,981.7",""
"2007","Denmark","Million euro","General government","Recreational and sporting services","Total general government expenditure","1,086.5",""
"2007","Denmark","Million euro","General government","Cultural services","Total general government expenditure","1,411.0",""
"2007","Denmark","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","457.5",""
"2007","Denmark","Million euro","General government","Religious and other community services","Total general government expenditure","927.0",""
"2007","Denmark","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","7.1",""
"2007","Denmark","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","92.3",""
"2007","Denmark","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.4",""
"2007","Denmark","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.9",""
"2007","Denmark","Percentage of total","General government","Cultural services","Total general government expenditure","1.2",""
"2007","Denmark","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2007","Denmark","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.8",""
"2007","Denmark","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Denmark","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2007","Germany","Million euro","General government","Recreation, culture and religion","Total general government expenditure","27,012.0",""
"2007","Germany","Million euro","General government","Recreational and sporting services","Total general government expenditure","7,140.0",""
"2007","Germany","Million euro","General government","Cultural services","Total general government expenditure","9,010.0",""
"2007","Germany","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","8,210.0",""
"2007","Germany","Million euro","General government","Religious and other community services","Total general government expenditure","661.0",""
"2007","Germany","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","1,114.0",""
"2007","Germany","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","877.0",""
"2007","Germany","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.5",""
"2007","Germany","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.7",""
"2007","Germany","Percentage of total","General government","Cultural services","Total general government expenditure","0.8",""
"2007","Germany","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.8",""
"2007","Germany","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","Germany","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.1",""
"2007","Germany","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2007","Estonia","Million euro","General government","Recreation, culture and religion","Total general government expenditure","337.7",""
"2007","Estonia","Million euro","General government","Recreational and sporting services","Total general government expenditure","71.3",""
"2007","Estonia","Million euro","General government","Cultural services","Total general government expenditure","180.6",""
"2007","Estonia","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","47.9",""
"2007","Estonia","Million euro","General government","Religious and other community services","Total general government expenditure","5.9",""
"2007","Estonia","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","11.9",""
"2007","Estonia","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","20.1",""
"2007","Estonia","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","6.1",""
"2007","Estonia","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.3",""
"2007","Estonia","Percentage of total","General government","Cultural services","Total general government expenditure","3.3",""
"2007","Estonia","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.9",""
"2007","Estonia","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","Estonia","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.2",""
"2007","Estonia","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.4",""
"2007","Ireland","Million euro","General government","Recreation, culture and religion","Total general government expenditure","1,335.0",""
"2007","Ireland","Million euro","General government","Recreational and sporting services","Total general government expenditure","476.1",""
"2007","Ireland","Million euro","General government","Cultural services","Total general government expenditure","698.6",""
"2007","Ireland","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","84.3",""
"2007","Ireland","Million euro","General government","Religious and other community services","Total general government expenditure","57.1",""
"2007","Ireland","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Ireland","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","18.9",""
"2007","Ireland","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","1.9",""
"2007","Ireland","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.7",""
"2007","Ireland","Percentage of total","General government","Cultural services","Total general government expenditure","1.0",""
"2007","Ireland","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.1",""
"2007","Ireland","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","Ireland","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Ireland","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Greece","Million euro","General government","Recreation, culture and religion","Total general government expenditure","1,432.0",""
"2007","Greece","Million euro","General government","Recreational and sporting services","Total general government expenditure","461.0",""
"2007","Greece","Million euro","General government","Cultural services","Total general government expenditure","337.0",""
"2007","Greece","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","392.0",""
"2007","Greece","Million euro","General government","Religious and other community services","Total general government expenditure","28.0",""
"2007","Greece","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Greece","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","214.0",""
"2007","Greece","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","1.3",""
"2007","Greece","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"2007","Greece","Percentage of total","General government","Cultural services","Total general government expenditure","0.3",""
"2007","Greece","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2007","Greece","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2007","Greece","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Greece","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.2",""
"2007","Spain","Million euro","General government","Recreation, culture and religion","Total general government expenditure","16,878.0",""
"2007","Spain","Million euro","General government","Recreational and sporting services","Total general government expenditure","4,655.0",""
"2007","Spain","Million euro","General government","Cultural services","Total general government expenditure","7,022.0",""
"2007","Spain","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","3,385.0",""
"2007","Spain","Million euro","General government","Religious and other community services","Total general government expenditure","1,434.0",""
"2007","Spain","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","71.0",""
"2007","Spain","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","311.0",""
"2007","Spain","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","4.0",""
"2007","Spain","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.1",""
"2007","Spain","Percentage of total","General government","Cultural services","Total general government expenditure","1.7",""
"2007","Spain","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.8",""
"2007","Spain","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.3",""
"2007","Spain","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Spain","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2007","France","Million euro","General government","Recreation, culture and religion","Total general government expenditure","27,576.0",""
"2007","France","Million euro","General government","Recreational and sporting services","Total general government expenditure","10,578.0",""
"2007","France","Million euro","General government","Cultural services","Total general government expenditure","13,610.0",""
"2007","France","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","3,057.0",""
"2007","France","Million euro","General government","Religious and other community services","Total general government expenditure","332.0",""
"2007","France","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","France","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","France","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.7",""
"2007","France","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.0",""
"2007","France","Percentage of total","General government","Cultural services","Total general government expenditure","1.3",""
"2007","France","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.3",""
"2007","France","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2007","France","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","France","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Croatia","Million euro","General government","Recreation, culture and religion","Total general government expenditure","715.3",""
"2007","Croatia","Million euro","General government","Recreational and sporting services","Total general government expenditure","180.4",""
"2007","Croatia","Million euro","General government","Cultural services","Total general government expenditure","276.5",""
"2007","Croatia","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","167.5",""
"2007","Croatia","Million euro","General government","Religious and other community services","Total general government expenditure","27.4",""
"2007","Croatia","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","15.6",""
"2007","Croatia","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","47.9",""
"2007","Croatia","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.5",""
"2007","Croatia","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.9",""
"2007","Croatia","Percentage of total","General government","Cultural services","Total general government expenditure","1.4",""
"2007","Croatia","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.8",""
"2007","Croatia","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","Croatia","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.1",""
"2007","Croatia","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.2",""
"2007","Italy","Million euro","General government","Recreation, culture and religion","Total general government expenditure","11,645.4",""
"2007","Italy","Million euro","General government","Recreational and sporting services","Total general government expenditure","3,825.0",""
"2007","Italy","Million euro","General government","Cultural services","Total general government expenditure","5,381.0",""
"2007","Italy","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","745.4",""
"2007","Italy","Million euro","General government","Religious and other community services","Total general government expenditure","1,283.0",""
"2007","Italy","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","146.0",""
"2007","Italy","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","265.0",""
"2007","Italy","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","1.5",""
"2007","Italy","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"2007","Italy","Percentage of total","General government","Cultural services","Total general government expenditure","0.7",""
"2007","Italy","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.1",""
"2007","Italy","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2007","Italy","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Italy","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Cyprus","Million euro","General government","Recreation, culture and religion","Total general government expenditure","202.1",""
"2007","Cyprus","Million euro","General government","Recreational and sporting services","Total general government expenditure","74.0",""
"2007","Cyprus","Million euro","General government","Cultural services","Total general government expenditure","54.1",""
"2007","Cyprus","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","44.4",""
"2007","Cyprus","Million euro","General government","Religious and other community services","Total general government expenditure","29.0",""
"2007","Cyprus","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.5",""
"2007","Cyprus","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Cyprus","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.1",""
"2007","Cyprus","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.1",""
"2007","Cyprus","Percentage of total","General government","Cultural services","Total general government expenditure","0.8",""
"2007","Cyprus","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.7",""
"2007","Cyprus","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.4",""
"2007","Cyprus","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Cyprus","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Latvia","Million euro","General government","Recreation, culture and religion","Total general government expenditure","384.4",""
"2007","Latvia","Million euro","General government","Recreational and sporting services","Total general government expenditure","83.1",""
"2007","Latvia","Million euro","General government","Cultural services","Total general government expenditure","242.1",""
"2007","Latvia","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","34.8",""
"2007","Latvia","Million euro","General government","Religious and other community services","Total general government expenditure","0.7",""
"2007","Latvia","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","1.4",""
"2007","Latvia","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","22.2",""
"2007","Latvia","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","4.9",""
"2007","Latvia","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.1",""
"2007","Latvia","Percentage of total","General government","Cultural services","Total general government expenditure","3.1",""
"2007","Latvia","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2007","Latvia","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2007","Latvia","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Latvia","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.3",""
"2007","Lithuania","Million euro","General government","Recreation, culture and religion","Total general government expenditure","299.3",""
"2007","Lithuania","Million euro","General government","Recreational and sporting services","Total general government expenditure","49.0",""
"2007","Lithuania","Million euro","General government","Cultural services","Total general government expenditure","193.6",""
"2007","Lithuania","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","29.2",""
"2007","Lithuania","Million euro","General government","Religious and other community services","Total general government expenditure","13.9",""
"2007","Lithuania","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure",":","z"
"2007","Lithuania","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","13.7",""
"2007","Lithuania","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.9",""
"2007","Lithuania","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"2007","Lithuania","Percentage of total","General government","Cultural services","Total general government expenditure","1.9",""
"2007","Lithuania","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.3",""
"2007","Lithuania","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","Lithuania","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure",":","z"
"2007","Lithuania","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2007","Luxembourg","Million euro","General government","Recreation, culture and religion","Total general government expenditure","465.4",""
"2007","Luxembourg","Million euro","General government","Recreational and sporting services","Total general government expenditure","129.7",""
"2007","Luxembourg","Million euro","General government","Cultural services","Total general government expenditure","202.9",""
"2007","Luxembourg","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","67.9",""
"2007","Luxembourg","Million euro","General government","Religious and other community services","Total general government expenditure","34.9",""
"2007","Luxembourg","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","3.0",""
"2007","Luxembourg","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","26.9",""
"2007","Luxembourg","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.3",""
"2007","Luxembourg","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.9",""
"2007","Luxembourg","Percentage of total","General government","Cultural services","Total general government expenditure","1.4",""
"2007","Luxembourg","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.5",""
"2007","Luxembourg","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2007","Luxembourg","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Luxembourg","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.2",""
"2007","Hungary","Million euro","General government","Recreation, culture and religion","Total general government expenditure","1,523.6",""
"2007","Hungary","Million euro","General government","Recreational and sporting services","Total general government expenditure","353.5",""
"2007","Hungary","Million euro","General government","Cultural services","Total general government expenditure","612.2",""
"2007","Hungary","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","347.5",""
"2007","Hungary","Million euro","General government","Religious and other community services","Total general government expenditure","190.4",""
"2007","Hungary","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","1.9",""
"2007","Hungary","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","18.1",""
"2007","Hungary","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.0",""
"2007","Hungary","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.7",""
"2007","Hungary","Percentage of total","General government","Cultural services","Total general government expenditure","1.2",""
"2007","Hungary","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.7",""
"2007","Hungary","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.4",""
"2007","Hungary","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Hungary","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Malta","Million euro","General government","Recreation, culture and religion","Total general government expenditure","31.6",""
"2007","Malta","Million euro","General government","Recreational and sporting services","Total general government expenditure","5.2",""
"2007","Malta","Million euro","General government","Cultural services","Total general government expenditure","21.1",""
"2007","Malta","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","2.9",""
"2007","Malta","Million euro","General government","Religious and other community services","Total general government expenditure","0.5",""
"2007","Malta","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.1",""
"2007","Malta","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","1.9",""
"2007","Malta","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","1.3",""
"2007","Malta","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.2",""
"2007","Malta","Percentage of total","General government","Cultural services","Total general government expenditure","0.9",""
"2007","Malta","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.1",""
"2007","Malta","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2007","Malta","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Malta","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2007","Netherlands","Million euro","General government","Recreation, culture and religion","Total general government expenditure","8,194.0",""
"2007","Netherlands","Million euro","General government","Recreational and sporting services","Total general government expenditure","3,391.0",""
"2007","Netherlands","Million euro","General government","Cultural services","Total general government expenditure","2,958.0",""
"2007","Netherlands","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","1,153.0",""
"2007","Netherlands","Million euro","General government","Religious and other community services","Total general government expenditure","414.0",""
"2007","Netherlands","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","100.0",""
"2007","Netherlands","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","178.0",""
"2007","Netherlands","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.1",""
"2007","Netherlands","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.3",""
"2007","Netherlands","Percentage of total","General government","Cultural services","Total general government expenditure","1.1",""
"2007","Netherlands","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2007","Netherlands","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2007","Netherlands","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Netherlands","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2007","Austria","Million euro","General government","Recreation, culture and religion","Total general government expenditure","4,029.2",""
"2007","Austria","Million euro","General government","Recreational and sporting services","Total general government expenditure","849.3",""
"2007","Austria","Million euro","General government","Cultural services","Total general government expenditure","1,929.8",""
"2007","Austria","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","1,080.1",""
"2007","Austria","Million euro","General government","Religious and other community services","Total general government expenditure","135.3",""
"2007","Austria","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","32.3",""
"2007","Austria","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","2.2",""
"2007","Austria","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.9",""
"2007","Austria","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.6",""
"2007","Austria","Percentage of total","General government","Cultural services","Total general government expenditure","1.4",""
"2007","Austria","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.8",""
"2007","Austria","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","Austria","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","Austria","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Poland","Million euro","General government","Recreation, culture and religion","Total general government expenditure","3,682.3",""
"2007","Poland","Million euro","General government","Recreational and sporting services","Total general government expenditure","1,020.4",""
"2007","Poland","Million euro","General government","Cultural services","Total general government expenditure","2,385.0",""
"2007","Poland","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","129.4",""
"2007","Poland","Million euro","General government","Religious and other community services","Total general government expenditure","50.5",""
"2007","Poland","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","71.9",""
"2007","Poland","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","25.1",""
"2007","Poland","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.7",""
"2007","Poland","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.8",""
"2007","Poland","Percentage of total","General government","Cultural services","Total general government expenditure","1.8",""
"2007","Poland","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.1",""
"2007","Poland","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2007","Poland","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.1",""
"2007","Poland","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Portugal","Million euro","General government","Recreation, culture and religion","Total general government expenditure","1,907.6",""
"2007","Portugal","Million euro","General government","Recreational and sporting services","Total general government expenditure","649.9",""
